Rep_num,Time,Stop_Reason,Generation,Population,Init_Method,Selection_Method,Tournament_Size,Crossover_Rate,Crossover_Type,Mutation_Rate,Mutation_Type,elitism,Max_Gen,Patience,Partition1_Sum,Partition2_Sum,Partition_Difference,Size
1,133.6894,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16305,16305,0,622
1,143.4175,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16332,16332,0,623
1,134.2400,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16361,16359,2,624
1,190.8632,Patience,37,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16383,16383,0,625
1,183.4540,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16417,16417,0,627
1,226.4757,Patience,44,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16586,16586,0,634
1,201.6588,Patience,38,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16706,16706,0,637
1,160.5181,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16793,16793,0,641
1,180.0556,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16876,16876,0,644
1,150.6860,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16908,16910,2,645
1,141.6108,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16914,16914,0,646
1,214.9006,Patience,40,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16952,16952,0,647
1,156.7924,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,16968,16968,0,648
1,152.5639,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17079,17079,0,651
1,150.2577,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17090,17090,0,653
1,154.9456,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17103,17103,0,654
1,207.3938,Patience,38,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17164,17162,2,656
1,146.3865,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17224,17224,0,659
1,145.1765,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17274,17274,0,661
1,146.3127,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17346,17348,2,663
1,177.1129,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17389,17389,0,664
1,153.9814,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17404,17404,0,665
1,146.3598,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17441,17443,2,666
1,174.8409,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17553,17553,0,670
1,167.7988,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17639,17641,2,673
1,154.4068,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17689,17691,2,675
1,252.9904,Patience,46,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17696,17696,0,676
1,171.2848,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17713,17711,2,677
1,177.9156,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17728,17728,0,678
1,156.4851,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17781,17781,0,680
1,187.9353,Patience,32,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17902,17902,0,685
1,182.2010,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17933,17933,0,686
1,151.8722,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,17974,17974,0,687
1,152.7189,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18021,18023,2,688
1,197.6641,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18175,18173,2,693
1,279.0968,Patience,49,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18229,18229,0,697
1,154.9727,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18319,18319,0,700
1,177.5500,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18404,18408,4,702
1,193.6658,Patience,32,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18507,18507,0,705
1,167.7863,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18534,18534,0,706
1,158.7223,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18559,18559,0,707
1,185.7752,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18656,18656,0,712
1,162.8975,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18695,18695,0,713
1,163.9786,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18703,18705,2,714
1,185.6376,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18745,18745,0,715
1,188.6444,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18777,18777,0,716
1,274.7708,Patience,46,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18785,18785,0,717
1,161.1464,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18799,18797,2,718
1,167.0994,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18824,18824,0,719
1,182.0605,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18875,18877,2,721
1,162.2329,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18933,18933,0,724
1,174.3214,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18951,18951,0,725
1,164.4970,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18981,18983,2,727
1,170.7073,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,18998,19000,2,728
1,188.6272,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19242,19244,2,735
1,175.4023,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19285,19283,2,736
1,254.7564,Patience,41,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19428,19430,2,741
1,223.8371,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19456,19454,2,742
1,279.3413,Patience,45,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19498,19498,0,743
